식품코드,식품코드명
83313,"초콜렛,롯데 56%드림카카오(롯데제과주식회사)"
83326,"초콜렛,엠앤엠(m&m)(중국 Mars Foods)"
83330,"우유,초코에몽(남양유업)"
83339,"초콜렛,킨더초콜렛(수입원:매일유업)"
83340,"초콜렛,킨더초콜렛맥시(매일유업)"
83341,"초콜렛,킷캣(KITKAT)(네슬레)"
83345,"초콜렛,토블론 밀크(스위스 KRAFT)"
83351,"초콜렛,허쉬너겟밀크초콜렛(허쉬코리아)"
83357,"초콜렛,허쉬키세스 크리미아몬드(허쉬코리아)"
83360,"카라멜,땅콩카라멜(크라운제과)"
83363,"카라멜,마이쮸 딸기맛(크라운제과)"
83364,"카라멜,마이쮸 사과맛(크라운제과)"
83365,"카라멜,마이쮸 포도맛(크라운제과)"
83366,"카라멜,멘토스(퍼페티반멜레)"
83373,"카라멜,유가(청우식품)"
84001,"나또,살아있는실의힘생나또(신선나또(주))"
86015,"채소음료,미닛메이드 토마토주스(코카콜라음료(주))"
86031,"채소음료,하루야채 레드(한국야쿠르트)"
86032,"채소음료,하루야채 키즈뽀로로(한국야쿠르트)"
88013,"과일음료,델몬트 포도100(롯데칠성음료㈜)"
88014,"과일음료,델몬트 프리미엄 사과주스(롯데칠성음료㈜)"
88030,"과일음료,사과농장(가야농장)"
88044,"과일음료,아침에주스 100%사과(서울)"
88082,"바나나가공,골든사나 바나나칩(필리핀)"
93010,"아이스밀크,거북알(롯데삼강)"
93012,"빙과,더블더블(서주)"
93022,"빙과,젤루조아 제주감귤(해태제과)"
93025,"빙과,주물러 콜라(롯데)"
93033,"아이스밀크,설레임 밀크(롯데제과)"
93035,"아이스밀크,설레임 아라비카커피쉐이크(롯데제과)"
93039,"샤베트,까페오레(빙그레)"
93040,"아이스밀크,녹차마루(해태제과)"
93045,"아이스크림,셀렉션 딸기맛(롯데제과)"
93046,"빙과,수박바(롯데삼강)"
93053,"빙과,와삭바(롯데삼강)"
93061,"아이스밀크,초코퍼지(롯데삼강)"
93070,"아이스크림,구구크러스터(롯데삼강)"
93079,"아이스밀크,명가찰옥수수(롯데제과)"
93080,"아이스크림,민트초코(베스킨라빈스31)"
93082,"아이스밀크,바밤바아이스샌드(해태)"
93084,"샤베트,부라보콘 피스타치오(해태제과)"
93086,"아이스밀크,빵빠레 초코(롯데삼강)"
93089,"아이스크림,아몬드봉봉(베스킨라빈스31)"
93095,"아이스크림,요맘때콘 플레인(빙그레)"
93102,"아이스밀크,쿠키오(롯데삼강)"
93106,"아이스크림,티코 밀크초코(롯데)"
93111,"아이스크림,하겐다즈 바닐라(하겐다즈)"
93112,"아이스크림,하겐다즈 초코맛(하겐다즈)"
93136,"요구르트,다논 마시는액티비아 사과맛(풀무원다논㈜)"
93142,"요구르트,다논 액티비아 사과(다논)"
93149,"요구르트,덴마크 드링킹요구르트 딸기(동원데어리푸드)"
93159,"요구르트,불가리스 복숭아(남양유업)"
93162,"요구르트,비피더스 블루베리(푸르밀)"
93164,"요구르트,비피더스 포도맛(푸르밀)"
93167,"요구르트,비피더스명장 사과(㈜동원데어리푸드)"
93225,"우유,네스퀵초코우유(한국네슬레)"
93242,"우유,딸기맛우유(빙그레)"
93266,"우유,바나나는원래하얗다(매일유업)"
93267,"우유,바나나맛우유 저지방(빙그레(주))"
93295,"우유,상하목장 유기농바나나우유(매일유업)"
93478,"코코아,제티 딸기맛(동서식품)"
93492,"호상요구르트,떠먹는불가리스 딸기맛(남양유업)"
93494,"호상요구르트,떠먹는불가리스 복숭아(남양)"
93499,"호상요구르트,매일 바이오 딸기(매일유업)"
93500,"호상요구르트,매일 바이오 복숭아(매일유업)"
93506,"호상요구르트,비요뜨 초코링(서울우유)"
93516,"호상요구르트,아이러브요거트 딸기(다논)"
93526,"호상요구르트,요플레 닥터캡슐사과(빙그레)"
93529,"호상요구르트,요플레 블루베리(빙그레)"
93533,"호상요구르트,요플레 오리지널 복숭아(빙그레)"
93534,"호상요구르트,요플레 클래식 플레인(빙그레)"
93552,"호상요구르트,짜요짜요 딸기맛(서울우유)"
93553,"호상요구르트,짜요짜요 포도맛(서울우유)"
95008,"가당음료,귀여운내친구뽀로로 딸기맛((주)팔도)"
95009,"가당음료,귀여운내친구뽀로로 밀크맛(한국야쿠르트)"
95015,"가당음료,뽀로로스포츠(팔도)"
95017,"가당음료,썬키스트 레몬에이드(해태)"
95027,"가당음료,파워오투 아이스베리((주)농심)"
95029,"가당음료,파워오투 오렌지레몬((주)농심)"
95033,"가당음료분말,립톤아이스티믹스 레몬맛(유니레버)"
95034,"가당음료분말,립톤아이스티믹스 복숭아맛(유니레버코리아)"
95040,"가당음료분말,크리스탈라이트(크리스탈라이트)"
95047,"건강음료,광동 진홍삼골드(광동제약)"
95052,"건강음료,원비디(일양약품)"
95058,"건강음료,컨디션헛개수(씨제이푸드㈜)"
95068,"과일음료,가야 알로에농장(가야농장)"
95069,"과일음료,갈아만든배(해태)"
95073,"과일음료,과일촌 아침에사과(해태음료)"
95080,"과일음료,델몬트 오렌지드링크(롯데칠성음료㈜)"
95083,"과일음료,델몬트 포도드링크(롯데칠성음료㈜)"
95092,"과일음료,미닛메이드 망고플러스(코카콜라음료(주))"
95094,"과일음료,미닛메이드 제주감귤(코카콜라음료(주))"
95097,"과일음료,블루하와이(썬키스트)"
95110,"과일음료,유기농테일러푸룬주스((주)테일러팜스)"
95117,"과일음료,코코몽 사과맛(웅진식품)"
95122,"과일음료,포도봉봉(해태음료)"
95137,"기능성음료,광동 쌍화탕(광동제약)"
95162,"탄산음료,나랑드(동아오츠카)"
95241,"카페인음료,레드불(동서음료)"
95242,"카페인음료,박카스디액(동아제약)"
95246,"카페인음료,핫식스(롯데칠성음료)"
95247,"커피믹스,3in1 TRUNG NGUYEN(TRUNG NGUYEN SINGAPORE PTE LTD)"
95251,"커피믹스,네스까페 수프리모 부드러운블랙(한국네슬레)"
95252,"커피믹스,네스까페 수프리모 커피믹스(네스카페)"
95262,"커피믹스,맥심 부드러운블랙믹스모카골드(동서식품)"
95264,"커피믹스,맥심 부드러운블랙오리지날(동서식품)"
95265,"커피믹스,맥심 아라비카100커피믹스(동서식품)"
95266,"커피믹스,맥심 아이스커피믹스 블랙(동서식품)"
95267,"커피믹스,맥심 아이스커피믹스(동서식품)"
95273,"커피믹스,맥심 화이트골드 커피믹스(동서식품)"
95277,"커피분말,수프리모 인테소아메리카노(한국네슬레)"
95279,"커피믹스,애터미 카페 아라비카(애터미(주))"
95287,"커피믹스,칸타타 스위트아메리카노(롯데칠성음료)"
95295,"커피믹스,프렌치카페 골드라벨(남양유업)"
95298,"커피믹스,프렌치카페 카페믹스아라비카골드라벨(남양유업)"
95300,"커피믹스,프렌치카페 카페믹스클래식(남양유업)"
95301,"커피믹스,프렌치카페 커피믹스 부드러운블랙(남양)"
95304,"커피분말,G7 coffee(베트남산)"
95309,"커피분말,네스카페 마일드모카(한국네슬레)"
95313,"커피분말,맥심 디카페인(동서식품)"
95314,"커피분말,맥심 아라비카100(동서식품)"
95315,"커피분말,맥심 카누 콜롬비아블랜드 다크로스트 아메리카노(동서식품)"
95316,"커피분말,맥심 카누 콜롬비아블랜드 마일드로스트 아메리카노(동서식품)"
95318,"커피분말,애터미 카페 아라비카블랙(애터미(주))"
95319,"커피분말,카페 이과수(브라질 이과수사(에이스코리아))"
95323,"커피분말,테이스터스초이스 오리지날(한국네슬레)"
95324,"커피분말,프렌치카페 루카 다크 아메리카노(남양)"
95335,"커피음료,맥스웰하우스 오리지널(동서식품)"
95337,"커피음료,맥심 티오피 더블랙(동서식품)"
95338,"커피음료,맥심 티오피 마스터라떼(동서)"
95340,"커피음료,맥심 티오피 스위트아메리카노(동서식품)"
95345,"커피음료,바리스타 에스프레소라떼(매일유업)"
95351,"커피음료,산타페 오리지날(팔도)"
95353,"커피음료,스타벅스 더블샷에스프레소&크림(스타벅스)"
95354,"커피음료,스타벅스 프라프치노모카(동서식품)"
95360,"커피음료,조지아 까페라떼(한국코카콜라보틀링)"
95362,"커피음료,조지아 맥스(한국코카콜라보틀링)"
95363,"커피음료,조지아 스위트아메리카노(코카콜라㈜)"
95367,"커피음료,조지아 오리지널(한국코카콜라보틀링)"
95374,"커피음료,칸타타 오리지날원두커피(롯데칠성음료)"
95376,"커피음료,칸타타 프리미엄라떼(롯데칠성음료)"
95378,"커피음료,프렌치카페 카라멜마끼아또(남양유업)"
95385,"코코아,스위스미스 핫코코아믹스 마시멜로(미국 CONAGRA Food inc)"
95392,"콜라,코카콜라 제로(한국코카콜라주식회사)"
95395,"콜라,펩시제로콜라(롯데칠성음료)"
95411,"탄산음료,환타 파인애플맛(한국코카콜라주식회사)"
95412,"탄산음료,환타 포도맛(한국코카콜라주식회사)"
95419,"과일주,매화수(진로)"
95426,"막걸리,국순당 쌀막걸리(국순당)"
95437,"막걸리,부산생막걸리(부산합동양조)"
95438,"막걸리,불로생막걸리(대구탁주합동)"
95443,"막걸리,생탁(부산합동양조)"
95444,"막걸리,서울막걸리(서울탁주)"
95446,"막걸리,서울장수막걸리(서울탁주)"
95447,"막걸리,소성주막걸리(인천탁주)"
95458,"막걸리,장수생막거리(서울장수주식회사)"
95469,"맥주,OB맥주(OB맥주)"
95470,"맥주,기네스(기네스맥주)"
95476,"맥주,삿뽀로 프리미엄 맥주(Sappro viefram Ltd)"
95477,"맥주,아사히맥주(아사히(주))"
95486,"맥주,클라우드맥주(롯데주류(주))"
95489,"맥주,하이트제로(하이트맥주)"
95490,"맥주,호가든(OB맥주)"
95495,"소주,선양소주(㈜선양)"
95497,"소주,시원소주(충북소주)"
95500,"소주,좋은데이(㈜무학소주)"
95502,"소주,진로소주(하이트진로)"
95503,"소주,참이슬 후레쉬(하이트진로)"
95504,"소주,처음처럼 (롯데주류BG)"
95517,"청주,경주법주(경주법주)"
95519,"청주,청하(롯데주류BG)"
